book_title,authors,description,cover_img,page_count,category,location,book_format,ratings
Environmental Economics,Charles D. Kolstad,"Environmental Economics, has established itself as one of its field's most authoritative texts, as well as one of the more challenging. It distinguishes itself from other books by presupposing that readers already have an understanding of intermediate microeconomics. Thus, this bookconcentrates only on environmental economics - problems of pollution of earth, air, and water - with an emphasis on regulation and private-sector anti-pollution incentives, and coverage of international examples.",https://covers.openlibrary.org/b/id/7751759-L.jpg,0.0,Economics,University of Jos,hard_copy,4
Labor Economics,George Borjas,"Labor Economics, Sixth Edition by George J. Borjas provides a modern introduction to labor economics, emphasizing both theory and empirical evidence. The book uses many examples drawn from state-of-the-art studies in labor economics literature. The author introduces, through examples, methodological techniques that are commonly used in labor economics to empirically test various aspects of the theory. New and hallmark features of the text include:",https://covers.openlibrary.org/b/id/1073182-L.jpg,576.0,Economics,University of Ibadan,hard_copy,5
Industrial Organization,Jeffery R. Church,"Avul Pakir Jainulabdeen Abdul Kalam, The Son Of A Little-Educated Boat-Owner In Rameswaram, Tamil Nadu, Had An Unparalled Career As A Defence Scientist, Culminating In The Highest Civilian Award Of India, The Bharat Ratna. As Chief Of The Country`S Defence Research And Development Programme, Kalam Demonstrated The Great Potential For Dynamism And Innovation That Existed In Seemingly Moribund Research Establishments. This Is The Story Of Kalam`S Rise From Obscurity And His Personal And Professional Struggles, As Well As The Story Of Agni, Prithvi, Akash, Trishul And Nag--Missiles That Have Become Household Names In India And That Have Raised The Nation To The Level Of A Missile Power Of International Reckoning.",http://books.google.com/books/content?id=c3qmIZtWUjAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,228.0,Economics,"Federal University of Technology, Akure",soft_copy,5
Behavioral Economics,Edward Cartwright,"Over the last few decades behavioral economics has revolutionized the discipline. It has done so by putting the human back into economics, by recognizing that people sometimes make mistakes, care about others, and are generally not as cold and calculating as economists have traditionally assumed. The results have been exciting and fascinating, and have fundamentally changed the way we look at economic behaviour. This textbook introduces all the key results and insights of behavioral economics to a student audience. Ideas such as mental accounting, prospect theory, present bias, inequality aversion, and learning are explained in detail. These ideas are also applied in diverse settings such as auctions, stock market crashes, charitable donations and health care, to show why behavioral economics is crucial to understanding the world around us. Consideration is also given to what makes people happy, and how we can potentially nudge people to be happier. This new edition contains expanded and updated coverage of neuroeconomics, emotions, deception, and the contrast between group and individual behaviour, among other topics, to ensure that readers are kept up-to-speed with this fast-paced field. A companion website is also now available containing a test bank of questions and worked examples allowing users to see for themselves how changing the parameters can change the outcomes. This book remains the ideal introduction to behavioral economics for advanced undergraduate and graduate students.",https://covers.openlibrary.org/b/id/9233785-L.jpg,583.0,Economics,Covenant University,soft_copy,3
"Money, Banking, and Financial Markets",Frederic S. Mishkin,"In the sprawling gothic city of New Crobuzon, a stranger requests the services of Isaac, an overweight and slightly eccentric scientist. But it is an impossible request--that of flight--and in the end Isaac's attempts will only succeed in unleashing a dark force upon the city.",https://covers.openlibrary.org/b/id/3967655-L.jpg,778.0,Economics,Babcock University,hard_copy,5
Economic Growth,David N. Weil,"Why are some countries rich and others poor? David N. Weil, one of the top researchers in economic growth, introduces students to the latest theoretical tools, data, and insights underlying this pivotal question. By showing how empirical data relate to new and old theoretical ideas, Economic Growth provides students with a complete introduction to the discipline and the latest research. With its comprehensive and flexible organization, Economic Growth is ideal for a wide array of courses, including undergraduate and graduate courses in economic growth, economic development, macro theory, applied econometrics, and development studies.",https://covers.openlibrary.org/b/id/135710-L.jpg,583.0,Economics,University of Port Harcourt,hard_copy,5
Health Economics,Charles E. Phelps,Why health economics? - An overview of how markets interrelate in medical care and health insurance - The transformation of medical care to health - The demand for medical care : conceptual framework - Empirical studies of medical care demand and applications - The physician - Physicians in the marketplace - The hospital as a supplier of medical care - Hospitals in the marketplace - Health insurance - Managed care - Government provision of health insurance : Medicare and its revisions - Medical malpractice - Externalities in health and medical care - Managing the market : regulation and technical change in health care - Universal insurance issues and international comparisons of health care systems.,https://covers.openlibrary.org/b/id/411393-L.jpg,0.0,Economics,Lead City University,hard_copy,4
Urban Economics,Arthur O'Sullivan,"Over the course of two decades, Urban Economics has achieved a worldwide audience, and has been translated into Chinese, Greek, Russian, and Korean. Like the eight previous editions, this edition provides a clear and concise presentation of the economic forces that: - cause the development of cities; - determine the spatial form of cities; - cause urban economies to grow or shrink; - generate urban problems such as poverty, crime, and congestion; - make the market for urban housing unique; and - shape the tax and spending policies of local governments. In addition to developing the basic concepts of urban economics, the book uses economic analysis to evaluate the merits of policies designed to address our most vexing urban problems.",https://covers.openlibrary.org/b/id/65359-L.jpg,466.0,Economics,Ahmadu Bello University,soft_copy,3
The Economics of Strategy,David Besanko,"""The book adopts a comprehensive economic point of view, based on the belief that insights from economics can provide a coherent basis for the formulation and evaluation of the external and internal strategies of firms""--Preface.",https://covers.openlibrary.org/b/id/3813921-L.jpg,798.0,Economics,University of Benin,hard_copy,4
Mathematical Economics,Alpha C. Chiang,"For this fourth edition of a text for students of economics, Chiang (University of Connecticut) and Wainwright (British Columbia Institute of Technology) add new chapters on the envelope theorem, advanced topics in optimization, and optimal control theory, and delete a chapter on mathematical programming. The book can serve as a text for a course o",http://books.google.com/books/content?id=LKIwAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,716.0,Economics,University of Ibadan,hard_copy,4
History of Economic Thought,William J. Barber,"Study of the grand ideas in economics has a perpetual intellectual fascination in it’s own right. It can also have practical relevance, as the global economic downturn that began in 2007 reminds us. For several decades, the economics establishment had been dismissive of Keynesianism, arguing that the world had moved beyond the “depression economics” with which it dealt. Keynesian economics, however, has now staged a comeback as governments attempt to formulate policy responses to the Great Recession of the first decade of the twenty-first century. Many of the issues that faced economists in the past are still with us. The theories and methods of such men as Adam Smith, T. R. Malthus, David Ricardo, J.S. Mill, Karl Marx, Alfred Marshall, and J. M. Keynes are often relevant to us today—and we can always learn from their mistakes. In his stimulating analysis Professor Barber assesses the thought of a number of important economists both in terms of the issues of their day and in relation to modern economic thought. By concentrating on the greatest exponents he highlights the central properties of the four main schools of economic thought – classical, Marxian, neo-classical, and Keynesian – and shows that although each of these traditions is rooted in a different stage of economic development, they can all provide insights into the recurring problems of modern economics.",http://books.google.com/books/content?id=HRgrTTMt0AYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,266.0,Economics,Obafemi Awolowo University,hard_copy,3
Experimental Economics,Douglas D. Davis,An examination of an area of economic research whereby economists have begun to use laboratories to evaluate economic propositions under carefully controlled conditions. The authors argue for the effectiveness of this technique in selected circumstances.,https://covers.openlibrary.org/b/id/4001436-L.jpg,586.0,Economics,Redeemer's University,hard_copy,4
Security Engineering,Ross Anderson,"Now that there's software in everything, how can you make anything secure? Understand how to engineer dependable systems with this newly updated classic In Security Engineering: A Guide to Building Dependable Distributed Systems, Third Edition Cambridge University professor Ross Anderson updates his classic textbook and teaches readers how to design, implement, and test systems to withstand both error and attack. This book became a best-seller in 2001 and helped establish the discipline of security engineering. By the second edition in 2008, underground dark markets had let the bad guys specialize and scale up; attacks were increasingly on users rather than on technology. The book repeated its success by showing how security engineers can focus on usability. Now the third edition brings it up to date for 2020. As people now go online from phones more than laptops, most servers are in the cloud, online advertising drives the Internet and social networks have taken over much human interaction, many patterns of crime and abuse are the same, but the methods have evolved. Ross Anderson explores what security engineering means in 2020, including: How the basic elements of cryptography, protocols, and access control translate to the new world of phones, cloud services, social media and the Internet of Things Who the attackers are – from nation states and business competitors through criminal gangs to stalkers and playground bullies What they do – from phishing and carding through SIM swapping and software exploits to DDoS and fake news Security psychology, from privacy through ease-of-use to deception The economics of security and dependability – why companies build vulnerable systems and governments look the other way How dozens of industries went online – well or badly How to manage security and safety engineering in a world of agile development – from reliability engineering to DevSecOps The third edition of Security Engineering ends with a grand challenge: sustainable security. As we build ever more software and connectivity into safety-critical durable goods like cars and medical devices, how do we design systems we can maintain and defend for decades? Or will everything in the world need monthly software upgrades, and become unsafe once they stop?",https://covers.openlibrary.org/b/id/4970809-L.jpg,1232.0,Cybersecurity,University of Port Harcourt,hard_copy,3
The Web Application Hacker's Handbook,Dafydd Stuttard,"The highly successful security book returns with a new edition, completely updated Web applications are the front door to most organizations, exposing them to attacks that may disclose personal information, execute fraudulent transactions, or compromise ordinary users. This practical book has been completely updated and revised to discuss the latest step-by-step techniques for attacking and defending the range of ever-evolving web applications. You'll explore the various new technologies employed in web applications that have appeared since the first edition and review the new attack techniques that have been developed, particularly in relation to the client side. Reveals how to overcome the new technologies and techniques aimed at defending web applications against attacks that have appeared since the previous edition Discusses new remoting frameworks, HTML5, cross-domain integration techniques, UI redress, framebusting, HTTP parameter pollution, hybrid file attacks, and more Features a companion web site hosted by the authors that allows readers to try out the attacks described, gives answers to the questions that are posed at the end of each chapter, and provides a summarized methodology and checklist of tasks Focusing on the areas of web application security where things have changed in recent years, this book is the most current resource on the critical topic of discovering, exploiting, and preventing web application security flaws.",https://covers.openlibrary.org/b/id/8733893-L.jpg,912.0,Cybersecurity,University of Jos,soft_copy,5
Network Security Essentials,William Stallings,"For one-semester courses on Network Security for computer science, engineering, and CIS majors.This text provides a practical, up-to-date, and comprehensive survey of network-based and Internet-based security applications and standards. It includes a concise treatment of the discipline of cryptography, covering algorithms and protocols underlying network security applications, encryption, hash functions, digital signatures, and key exchange.",https://covers.openlibrary.org/b/id/81242-L.jpg,413.0,Cybersecurity,Covenant University,soft_copy,4
Computer Security: Principles and Practice,William Stallings,"""Since the fourth edition of this book was published, the field has seen continued innovations and improvements. In this new edition, we try to capture these changes while maintaining a broad and comprehensive coverage of the entire field. There have been a number of refinements to improve pedagogy and user-friendliness, updated references, and mention of recent security incidents, along with a number of more substantive changes throughout the book""--",https://covers.openlibrary.org/b/id/13908067-L.jpg,0.0,Cybersecurity,Ahmadu Bello University,soft_copy,5
Applied Cryptography,Bruce Schneier,Cryptographic protocols; Cryptographic techniques; Cryptographic algorithms; The real world; Source code.,https://covers.openlibrary.org/b/id/3930979-L.jpg,644.0,Cybersecurity,University of Jos,soft_copy,3
The Art of Memory Forensics,Michael Hale Ligh,"Memory forensics provides cutting edge technology to help investigate digital attacks Memory forensics is the art of analyzing computer memory (RAM) to solve digital crimes. As a follow-up to the best seller Malware Analyst's Cookbook, experts in the fields of malware, security, and digital forensics bring you a step-by-step guide to memory forensics—now the most sought after skill in the digital forensics and incident response fields. Beginning with introductory concepts and moving toward the advanced, The Art of Memory Forensics: Detecting Malware and Threats in Windows, Linux, and Mac Memory is based on a five day training course that the authors have presented to hundreds of students. It is the only book on the market that focuses exclusively on memory forensics and how to deploy such techniques properly. Discover memory forensics techniques: How volatile memory analysis improves digital investigations Proper investigative steps for detecting stealth malware and advanced threats How to use free, open source tools for conducting thorough memory forensics Ways to acquire memory from suspect systems in a forensically sound manner The next era of malware and security breaches are more sophisticated and targeted, and the volatile memory of a computer is often overlooked or destroyed as part of the incident response process. The Art of Memory Forensics explains the latest technological innovations in digital forensics to help bridge this gap. It covers the most popular and recently released versions of Windows, Linux, and Mac, including both the 32 and 64-bit editions.",https://covers.openlibrary.org/b/id/7791634-L.jpg,912.0,Cybersecurity,University of Benin,soft_copy,5
Hacking: The Art of Exploitation,Jon Erickson,"This text introduces the spirit and theory of hacking as well as the science behind it all; it also provides some core techniques and tricks of hacking so you can think like a hacker, write your own hacks or thwart potential system attacks.",http://books.google.com/books/content?id=6JJPDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,214.0,Cybersecurity,"Federal University of Technology, Akure",hard_copy,3
Social Engineering: The Science of Human Hacking,Christopher Hadnagy,"Harden the human firewall against the most current threats Social Engineering: The Science of Human Hacking reveals the craftier side of the hacker’s repertoire—why hack into something when you could just ask for access? Undetectable by firewalls and antivirus software, social engineering relies on human fault to gain access to sensitive spaces; in this book, renowned expert Christopher Hadnagy explains the most commonly-used techniques that fool even the most robust security personnel, and shows you how these techniques have been used in the past. The way that we make decisions as humans affects everything from our emotions to our security. Hackers, since the beginning of time, have figured out ways to exploit that decision making process and get you to take an action not in your best interest. This new Second Edition has been updated with the most current methods used by sharing stories, examples, and scientific study behind how those decisions are exploited. Networks and systems can be hacked, but they can also be protected; when the “system” in question is a human being, there is no software to fall back on, no hardware upgrade, no code that can lock information down indefinitely. Human nature and emotion is the secret weapon of the malicious social engineering, and this book shows you how to recognize, predict, and prevent this type of manipulation by taking you inside the social engineer’s bag of tricks. Examine the most common social engineering tricks used to gain access Discover which popular techniques generally don’t work in the real world Examine how our understanding of the science behind emotions and decisions can be used by social engineers Learn how social engineering factors into some of the biggest recent headlines Learn how to use these skills as a professional social engineer and secure your company Adopt effective counter-measures to keep hackers at bay By working from the social engineer’s playbook, you gain the advantage of foresight that can help you protect yourself and others from even their best efforts. Social Engineering gives you the inside information you need to mount an unshakeable defense.",http://books.google.com/books/content?id=nvxfDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,327.0,Cybersecurity,University of Lagos,soft_copy,3
The Practice of Network Security Monitoring,Richard Bejtlich,"Network security is not simply about building impenetrable walls—determined attackers will eventually overcome traditional defenses. The most effective computer security strategies integrate network security monitoring (NSM): the collection and analysis of data to help you detect and respond to intrusions. In The Practice of Network Security Monitoring, Mandiant CSO Richard Bejtlich shows you how to use NSM to add a robust layer of protection around your networks—no prior experience required. To help you avoid costly and inflexible solutions, he teaches you how to deploy, build, and run an NSM operation using open source software and vendor-neutral tools. You'll learn how to: –Determine where to deploy NSM platforms, and size them for the monitored networks –Deploy stand-alone or distributed NSM installations –Use command line and graphical packet analysis tools, and NSM consoles –Interpret network evidence from server-side and client-side intrusions –Integrate threat intelligence into NSM software to identify sophisticated adversaries There’s no foolproof way to keep attackers out of your network. But when they get in, you’ll be prepared. The Practice of Network Security Monitoring will show you how to build a security net to detect, contain, and control them. Attacks are inevitable, but losing sensitive data shouldn't be.",http://books.google.com/books/content?id=VgYvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,436.0,Cybersecurity,University of Benin,soft_copy,3
Threat Modeling: Designing for Security,Adam Shostack,"The only security book to be chosen as a Dr. Dobbs Jolt Award Finalist since Bruce Schneier's Secrets and Lies and Applied Cryptography! Adam Shostack is responsible for security development lifecycle threat modeling at Microsoft and is one of a handful of threat modeling experts in the world. Now, he is sharing his considerable expertise into this unique book. With pages of specific actionable advice, he details how to build better security into the design of systems, software, or services from the outset. You'll explore various threat modeling approaches, find out how to test your designs against threats, and learn effective ways to address threats that have been validated at Microsoft and other top companies. Systems security managers, you'll find tools and a framework for structured thinking about what can go wrong. Software developers, you'll appreciate the jargon-free and accessible introduction to this essential skill. Security professionals, you'll learn to discern changing threats and discover the easiest ways to adopt a structured approach to threat modeling. Provides a unique how-to for security and software developers who need to design secure products and systems and test their designs Explains how to threat model and explores various threat modeling approaches, such as asset-centric, attacker-centric and software-centric Provides effective approaches and techniques that have been proven at Microsoft and elsewhere Offers actionable how-to advice not tied to any specific software, operating system, or programming language Authored by a Microsoft professional who is one of the most prominent threat modeling experts in the world As more software is delivered on the Internet or operates on Internet-connected devices, the design of secure software is absolutely critical. Make sure you're ready with Threat Modeling: Designing for Security.",http://books.google.com/books/content?id=asPDAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,624.0,Cybersecurity,University of Port Harcourt,hard_copy,5
Reversing: Secrets of Reverse Engineering,Eldad Eilam,"Beginning with a basic primer on reverse engineering-including computer internals, operating systems, and assembly language-and then discussing the various applications of reverse engineering, this book provides readers with practical, in-depth techniques for software reverse engineering. The book is broken into two parts, the first deals with security-related reverse engineering and the second explores the more practical aspects of reverse engineering. In addition, the author explains how to reverse engineer a third-party software library to improve interfacing and how to reverse engineer a competitor's software to build a better product. * The first popular book to show how software reverse engineering can help defend against security threats, speed up development, and unlock the secrets of competitive products * Helps developers plug security holes by demonstrating how hackers exploit reverse engineering techniques to crack copy-protection schemes and identify software targets for viruses and other malware * Offers a primer on advanced reverse-engineering, delving into ""disassembly""-code-level reverse engineering-and explaining how to decipher assembly language",http://books.google.com/books/content?id=_78HnPPRU_oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,630.0,Cybersecurity,Ahmadu Bello University,hard_copy,4
Digital Forensics and Incident Response,Gerard Johansen,"A practical guide to deploying digital forensic techniques in response to cyber security incidents About This Book Learn incident response fundamentals and create an effective incident response framework Master forensics investigation utilizing digital investigative techniques Contains real-life scenarios that effectively use threat intelligence and modeling techniques Who This Book Is For This book is targeted at Information Security professionals, forensics practitioners, and students with knowledge and experience in the use of software applications and basic command-line experience. It will also help professionals who are new to the incident response/digital forensics role within their organization. What You Will Learn Create and deploy incident response capabilities within your organization Build a solid foundation for acquiring and handling suitable evidence for later analysis Analyze collected evidence and determine the root cause of a security incident Learn to integrate digital forensic techniques and procedures into the overall incident response process Integrate threat intelligence in digital evidence analysis Prepare written documentation for use internally or with external parties such as regulators or law enforcement agencies In Detail Digital Forensics and Incident Response will guide you through the entire spectrum of tasks associated with incident response, starting with preparatory activities associated with creating an incident response plan and creating a digital forensics capability within your own organization. You will then begin a detailed examination of digital forensic techniques including acquiring evidence, examining volatile memory, hard drive assessment, and network-based evidence. You will also explore the role that threat intelligence plays in the incident response process. Finally, a detailed section on preparing reports will help you prepare a written report for use either internally or in a courtroom. By the end of the book, you will have mastered forensic techniques and incident response and you will have a solid foundation on which to increase your ability to investigate such incidents in your organization. Style and approach The book covers practical scenarios and examples in an enterprise setting to give you an understanding of how digital forensics integrates with the overall response to cyber security incidents. You will also learn the proper use of tools and techniques to investigate common cyber security incidents such as malware infestation, memory analysis, disk analysis, and network analysis.",https://covers.openlibrary.org/b/id/10514187-L.jpg,316.0,Cybersecurity,"Federal University of Technology, Owerri",soft_copy,3
Blue Team Handbook,Don Murdoch,"BTHb:INRE - Version 2.2 now available.Voted #3 of the 100 Best Cyber Security Books of All Time by Vinod Khosla, Tim O'Reilly andMarcus Spoons Stevens on BookAuthority.com as of 06/09/2018!The Blue Team Handbook is a ""zero fluff"" reference guide for cyber security incident responders, security engineers, and InfoSec pros alike. The BTHb includes essential information in a condensed handbook format. Main topics include the incident response process, how attackers work, common tools for incident response, a methodology for network analysis, common indicators of compromise, Windows and Linux analysis processes, tcpdump usage examples, Snort IDS usage, packet headers, and numerous other quick reference topics. The book is designed specifically to share ""real life experience"", so it is peppered with practical techniques from the authors' extensive career in handling incidents. Whether you are writing up your cases notes, analyzing potentially suspicious traffic, or called in to look over a misbehaving server - this book should help you handle the case and teach you some new techniques along the way. Version 2.2 updates: - *** A new chapter on Indicators of Compromise added. - Table format slightly revised throughout book to improve readability. - Dozens of paragraphs updated and expanded for readability and completeness. - 15 pages of new content since version 2.0.",https://covers.openlibrary.org/b/id/12528881-L.jpg,0.0,Cybersecurity,Covenant University,hard_copy,3
The Tao of Network Security Monitoring,Richard Bejtlich,"The book you are about to read will arm you with the knowledge you need to defend your network from attackers--both the obvious and the not so obvious.... If you are new to network security, don't put this book back on the shelf! This is a great book for beginners and I wish I had access to it many years ago. If you've learned the basics of TCP/IP protocols and run an open source or commercial IDS, you may be asking 'What's next?' If so, this book is for you. --Ron Gula, founder and CTO, Tenable Network Security, from the Foreword Richard Bejtlich has a good perspective on Internet security--one that is orderly and practical at the same time. He keeps readers grounded and addresses the fundamentals in an accessible way. --Marcus Ranum, TruSecure This book is not about security or network monitoring: It's about both, and in reality these are two aspects of the same problem. You can easily find people who are security experts or network monitors, but this book explains how to master both topics. --Luca Deri, ntop.org This book will enable security professionals of all skill sets to improve their understanding of what it takes to set up, maintain, and utilize a successful network intrusion detection strategy. --Kirby Kuehl, Cisco Systems Every network can be compromised. There are too many systems, offering too many services, running too many flawed applications. No amount of careful coding, patch management, or access control can keep out every attacker. If prevention eventually fails, how do you prepare for the intrusions that will eventually happen? Network security monitoring (NSM) equips security staff to deal with the inevitable consequences of too few resources and too many responsibilities. NSM collects the data needed to generate better assessment, detection, and response processes--resulting in decreased impact from unauthorized activities. In The Tao of Network Security Monitoring, Richard Bejtlich explores the products, people, and processes that implement the NSM model. By focusing on case studies and the application of open source tools, he helps you gain hands-on knowledge of how to better defend networks and how to mitigate damage from security incidents. Inside, you will find in-depth information on the following areas. The NSM operational framework and deployment considerations. How to use a variety of open-source tools--including Sguil, Argus, and Ethereal--to mine network traffic for full content, session, statistical, and alert data. Best practices for conducting emergency NSM in an incident response scenario, evaluating monitoring vendors, and deploying an NSM architecture. Developing and applying knowledge of weapons, tactics, telecommunications, system administration, scripting, and programming for NSM. The best tools for generating arbitrary packets, exploiting flaws, manipulating traffic, and conducting reconnaissance. Whether you are new to network intrusion detection and incident response, or a computer-security veteran, this book will enable you to quickly develop and apply the skills needed to detect, prevent, and respond to new and emerging threats.",https://covers.openlibrary.org/b/id/193268-L.jpg,836.0,Cybersecurity,"University of Nigeria, Nsukka",soft_copy,4
Practical Malware Analysis,Michael Sikorski,"Malware analysis is big business, and attacks can cost a company dearly. When malware breaches your defenses, you need to act quickly to cure current infections and prevent future ones from occurring. For those who want to stay ahead of the latest malware, Practical Malware Analysis will teach you the tools and techniques used by professional analysts. With this book as your guide, you'll be able to safely analyze, debug, and disassemble any malicious software that comes your way. You'll learn how to: –Set up a safe virtual environment to analyze malware –Quickly extract network signatures and host-based indicators –Use key analysis tools like IDA Pro, OllyDbg, and WinDbg –Overcome malware tricks like obfuscation, anti-disassembly, anti-debugging, and anti-virtual machine techniques –Use your newfound knowledge of Windows internals for malware analysis –Develop a methodology for unpacking malware and get practical experience with five of the most popular packers –Analyze special cases of malware with shellcode, C++, and 64-bit code Hands-on labs throughout the book challenge you to practice and synthesize your skills as you dissect real malware samples, and pages of detailed dissections offer an over-the-shoulder look at how the pros do it. You'll learn how to crack open malware to see how it really works, determine what damage it has done, thoroughly clean your network, and ensure that the malware never comes back. Malware analysis is a cat-and-mouse game with rules that are constantly changing, so make sure you have the fundamentals. Whether you're tasked with securing one network or a thousand networks, or you're making a living as a malware analyst, you'll find what you need to succeed in Practical Malware Analysis.",https://covers.openlibrary.org/b/id/8708643-L.jpg,802.0,Cybersecurity,University of Ibadan,soft_copy,4
Cloud Security,Ben Malisow,"The only official CCSP practice test product endorsed by (ISC)² With over 1,000 practice questions, this book gives you the opportunity to test your level of understanding and gauge your readiness for the Certified Cloud Security Professional (CCSP) exam long before the big day. These questions cover 100% of the CCSP exam domains, and include answers with full explanations to help you understand the reasoning and approach for each. Logical organization by domain allows you to practice only the areas you need to bring you up to par, without wasting precious time on topics you’ve already mastered. As the only official practice test product for the CCSP exam endorsed by (ISC)², this essential resource is your best bet for gaining a thorough understanding of the topic. It also illustrates the relative importance of each domain, helping you plan your remaining study time so you can go into the exam fully confident in your knowledge. When you’re ready, two practice exams allow you to simulate the exam day experience and apply your own test-taking strategies with domains given in proportion to the real thing. The online learning environment and practice exams are the perfect way to prepare, and make your progress easy to track.",http://books.google.com/books/content?id=0NXKDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,400.0,Cybersecurity,"University of Nigeria, Nsukka",soft_copy,3
Zero Trust Networks,Evan Gilman,"The perimeter defenses guarding your network perhaps are not as secure as you think. Hosts behind the firewall have no defenses of their own, so when a host in the ""trusted"" zone is breached, access to your data center is not far behind. That’s an all-too-familiar scenario today. With this practical book, you’ll learn the principles behind zero trust architecture, along with details necessary to implement it. The Zero Trust Model treats all hosts as if they’re internet-facing, and considers the entire network to be compromised and hostile. By taking this approach, you’ll focus on building strong authentication, authorization, and encryption throughout, while providing compartmentalized access and better operational agility. Understand how perimeter-based defenses have evolved to become the broken model we use today Explore two case studies of zero trust in production networks on the client side (Google) and on the server side (PagerDuty) Get example configuration for open source tools that you can use to build a zero trust network Learn how to migrate from a perimeter-based network to a zero trust network in production",https://covers.openlibrary.org/b/id/8876130-L.jpg,240.0,Cybersecurity,University of Ilorin,soft_copy,3
The Docker Book,James Turnbull,"A new book designed for SysAdmins, Operations staff, Developers and DevOps who are interested in deploying the open source container service Docker. In this book, we'll will walk you through installing, deploying, managing, and extending Docker. We're going to do that by first introducing you to the basics of Docker and its components. Then we'll start to use Docker to build containers and services to perform a variety of tasks. We're going to take you through the development life cycle, from testing to production, and see where Docker fits in and how it can make your life easier. We'll make use of Docker to build test environments for new projects, demonstrate how to integrate Docker with continuous integration workflow, and then how to build and orchestrate application services and platforms. Finally, we'll show you how to use Docker's API and how to extend Docker yourself.",https://covers.openlibrary.org/b/id/14092457-L.jpg,437.0,Cybersecurity,"Federal University of Technology, Owerri",hard_copy,5
CISSP All-in-One Exam Guide,Fernando Maymi,"A new edition of Shon Harris’ bestselling exam prep guide―fully updated for the 2021 version of the CISSP exam Thoroughly updated for the latest release of the Certified Information Systems Security Professional exam, this comprehensive resource covers all objectives in the 2021 CISSP exam developed by the International Information Systems Security Certification Consortium (ISC)2®. CISSP All-in-One Exam Guide, Ninth Edition features learning objectives at the beginning of each chapter, exam tips, practice questions, and in-depth explanations. Written by leading experts in information security certification and training, this completely up-to-date self-study system helps you pass the exam with ease and also serves as an essential on-the-job reference. Covers all 8 CISSP domains: Security and risk management Asset security Security architecture and engineering Communication and network security Identity and access management (IAM) Security assessment and testing Security operations Software development security Online content includes: 1400+ practice exam questions Graphical question quizzes Test engine that provides full-length practice exams and customizable quizzes by chapter or exam domain Access to Flash cards",http://books.google.com/books/content?id=HgBHEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1361.0,Cybersecurity,Afe Babalola University,soft_copy,3
Ethical Hacking,Daniel Graham,"A hands-on guide to hacking computer systems from the ground up, from capturing traffic to crafting sneaky, successful trojans. A crash course in modern hacking techniques, Ethical Hacking is already being used to prepare the next generation of offensive security experts. In its many hands-on labs, you’ll explore crucial skills for any aspiring penetration tester, security researcher, or malware analyst. You’ll begin with the basics: capturing a victim’s network traffic with an ARP spoofing attack and then viewing it in Wireshark. From there, you’ll deploy reverse shells that let you remotely run commands on a victim’s computer, encrypt files by writing your own ransomware in Python, and fake emails like the ones used in phishing attacks. In advanced chapters, you’ll learn how to fuzz for new vulnerabilities, craft trojans and rootkits, exploit websites with SQL injection, and escalate your privileges to extract credentials, which you’ll use to traverse a private network. You’ll work with a wide range of professional penetration testing tools—and learn to write your own tools in Python—as you practice tasks like: Deploying the Metasploit framework’s reverse shells and embedding them in innocent-seeming files Capturing passwords in a corporate Windows network using Mimikatz Scanning (almost) every device on the internet to find potential victims Installing Linux rootkits that modify a victim’s operating system Performing advanced Cross-Site Scripting (XSS) attacks that execute sophisticated JavaScript payloads Along the way, you’ll gain a foundation in the relevant computing technologies. Discover how advanced fuzzers work behind the scenes, learn how internet traffic gets encrypted, explore the inner mechanisms of nation-state malware like Drovorub, and much more. Developed with feedback from cybersecurity students, Ethical Hacking addresses contemporary issues in the field not often covered in other books and will prepare you for a career in penetration testing. Most importantly, you’ll be able to think like an ethical hacker⁠: someone who can carefully analyze systems and creatively gain access to them.",http://books.google.com/books/content?id=bG5BEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,378.0,Cybersecurity,Babcock University,hard_copy,5
